6,214%;KNIP11;KINEA ÍNDICE DE PREÇOS;;;;
Seguir;;;;;;
"
";;;;;;
0,101%;TORD11;TORDESILHAS EI FDO. INV. IMOB.;;;;
Seguir;;;;;;
"
";;;;;;
0,097%;RVBI11;VBI REITS FOF – FDO. INV. IMOB;;;;
Seguir;;;;;;
"
";;;;;;
0,091%;HOFC11;RB CAPITAL OFFICE INCOME FDO INV. IMOB.;;;;
Seguir;;;;;;
"
";;;;;;
0,077%;JPPA11;JPP ALLOCATION MOGNO – FDO INV IMOB;;;;
Seguir;;;;;;
"
";;;;;;
0,068%;SPTW11;SP DOWNTOWN;;;;
Seguir;;;;;;
"
";;;;;;
0,064%;IBCR11;FDO DE INV IMOBILIÁRIO DE CRI INTEGRAL BREI;;;;
Seguir;;;;;;
"
";;;;;;
0,06%;CARE11;BRAZILIAN GRAVEYARD AND DEATH CARE;;;;
Seguir;;;;;;
"
";;;;;;
0,06%;RELG11;REC LOGISTICA;;;;
Seguir;;;;;;
"
";;;;;;
0,053%;VIFI11;VINCI INSTRUMENTOS FINANCEIROS FDO INV IMOB – FII;;;;
Seguir;;;;;;
